"Nom";"Correction"
"Aeropostale";"Aéropostale"
"Appliquees";"Appliquées"
"Arc En Ciel";"Arc-en-ciel"
"Aries";"Ariès"
"arret";"arrêt"
"Barriere";"Barrière"
"Bibliotheque";"Bibliothèque"
"Bienes";"Biénès"
"C.n.r.s.";"CNRS"
"Cdt";"Commandant"
"Cel";"Colonel"
"Cevennes";"Cévennes"
"Chateau";"Château"
"Chenes";"Chênes"
"Cite";"Cité"
"Cre";"Commissaire"
"Crx";"Croix"
"D'";"d'"
"De";"de"
"Deodat";"Déodat"
"Departement";"Département"
"Des";"des"
"Dr";"Docteur"
"Du";"du"
"E.n.a.c.";"ENAC"
"Ecole";"École"
"Edouard";"Édouard"
"Eglise";"Église"
"Emile";"Émile"
"Et";"et"
"Etats";"États"
"Etienne";"Étienne"
"Faculte";"Faculté"
"Francois";"François"
"Frederic";"Frédéric"
"Gen";"Général"
"General";"Général"
"I.n.s.a.";"INSA"
"Ii";"II"
"Iii";"III"
"Ile";"Île"
"Itineraire";"Itinéraire"
"Iut";"IUT"
"Iv";"IV"
"Jaures";"Jaurès"
"Journees";"Journées"
"Lt";"Lieutenant"
"Mayssonnie";"Mayssonnié"
"Metro";"Métro"
"Mgr";"Monseigneur"
"Osete";"Osète"
"Pdt";"Président"
"Pere";"Père"
"Pr";"Professeur"
"President";"Président"
"Rene";"René"
"Republique";"République"
"Routiere";"Routière"
"St";"Saint"
"Ste";"Sainte"
"Universite";"Université"
"Ups";"UPS"
"Urss";"URSS"
"Vi";"VI"
"Vii";"VII"
"Viii";"VIII"
"Y";"y"
